Permissive,Description,Logic
M7148B_RevPerm.Inp_Perm04,,
M7148B_RevPerm.Inp_Perm05,,
M7148B_RevPerm.Inp_Perm06,,
M7148B_RevPerm.Inp_Perm07,,
M7148B_RevPerm.Inp_Perm08,,
M7152C_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7152_Sts) OTE(M7152C_FwdPerm.Inp_Perm00) 
M7152C_FwdPerm.Inp_Perm01,,
M7152C_FwdPerm.Inp_Perm02,,
M7152C_FwdPerm.Inp_Perm03,,
M7152C_FwdPerm.Inp_Perm04,,
M7152C_FwdPerm.Inp_Perm05,,
M7152C_FwdPerm.Inp_Perm06,,
M7152C_FwdPerm.Inp_Perm07,,
M7152C_FwdPerm.Inp_Perm08,,
M7152C_RevPerm.Inp_Perm00,Down Position,XIO(ZSD7152_Sts) OTE(M7152C_RevPerm.Inp_Perm00) 
M7152C_RevPerm.Inp_Perm01,,
M7152C_RevPerm.Inp_Perm02,,
M7152C_RevPerm.Inp_Perm03,,
M7152C_RevPerm.Inp_Perm04,,
M7152C_RevPerm.Inp_Perm05,,
M7152C_RevPerm.Inp_Perm06,,
M7152C_RevPerm.Inp_Perm07,,
M7152C_RevPerm.Inp_Perm08,,
M7153B_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7153_Sts) OTE(M7153B_FwdPerm.Inp_Perm00) 
M7153B_FwdPerm.Inp_Perm01,,
M7153B_FwdPerm.Inp_Perm02,,
M7153B_FwdPerm.Inp_Perm03,,
M7153B_FwdPerm.Inp_Perm04,,
M7153B_FwdPerm.Inp_Perm05,,
M7153B_FwdPerm.Inp_Perm06,,
M7153B_FwdPerm.Inp_Perm07,,
M7153B_FwdPerm.Inp_Perm08,,
M7153B_RevPerm.Inp_Perm00,Down Position,XIO(ZSD7153_Sts) OTE(M7153B_RevPerm.Inp_Perm00) 
M7153B_RevPerm.Inp_Perm01,,
M7153B_RevPerm.Inp_Perm02,,
M7153B_RevPerm.Inp_Perm03,,
M7153B_RevPerm.Inp_Perm04,,
M7153B_RevPerm.Inp_Perm05,,
M7153B_RevPerm.Inp_Perm06,,
M7153B_RevPerm.Inp_Perm07,,
M7153B_RevPerm.Inp_Perm08,,
M7157C_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7157_Sts) OTE(M7157C_FwdPerm.Inp_Perm00) 
M7157C_FwdPerm.Inp_Perm01,,
M7157C_FwdPerm.Inp_Perm02,,
M7157C_FwdPerm.Inp_Perm03,,
M7157C_FwdPerm.Inp_Perm04,,
M7157C_FwdPerm.Inp_Perm05,,
M7157C_FwdPerm.Inp_Perm06,,
M7157C_FwdPerm.Inp_Perm07,,
M7157C_FwdPerm.Inp_Perm08,,
M7157C_RevPerm.Inp_Perm00,Down Position,XIO(ZSD7157_Sts) OTE(M7157C_RevPerm.Inp_Perm00) 
M7157C_RevPerm.Inp_Perm01,,
M7157C_RevPerm.Inp_Perm02,,
M7157C_RevPerm.Inp_Perm03,,
M7157C_RevPerm.Inp_Perm04,,
M7157C_RevPerm.Inp_Perm05,,
M7157C_RevPerm.Inp_Perm06,,
M7157C_RevPerm.Inp_Perm07,,
M7157C_RevPerm.Inp_Perm08,,
M7158B_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7158_Sts) OTE(M7158B_FwdPerm.Inp_Perm00) 
M7158B_FwdPerm.Inp_Perm01,,
M7158B_FwdPerm.Inp_Perm02,,
M7158B_FwdPerm.Inp_Perm03,,
M7158B_FwdPerm.Inp_Perm04,,
M7158B_FwdPerm.Inp_Perm05,,
M7158B_FwdPerm.Inp_Perm06,,
M7158B_FwdPerm.Inp_Perm07,,
M7158B_FwdPerm.Inp_Perm08,,
M7158B_RevPerm.Inp_Perm00,Down Position,XIO(ZSD7158_Sts) OTE(M7158B_RevPerm.Inp_Perm00) 
M7158B_RevPerm.Inp_Perm01,,
M7158B_RevPerm.Inp_Perm02,,
M7158B_RevPerm.Inp_Perm03,,
M7158B_RevPerm.Inp_Perm04,,
M7158B_RevPerm.Inp_Perm05,,
M7158B_RevPerm.Inp_Perm06,,
M7158B_RevPerm.Inp_Perm07,,
M7158B_RevPerm.Inp_Perm08,,
M7162C_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7162_Sts) OTE(M7162C_FwdPerm.Inp_Perm00) 
M7162C_FwdPerm.Inp_Perm01,,
M7162C_FwdPerm.Inp_Perm02,,
M7162C_FwdPerm.Inp_Perm03,,
M7162C_FwdPerm.Inp_Perm04,,
M7162C_FwdPerm.Inp_Perm05,,
M7162C_FwdPerm.Inp_Perm06,,
M7162C_FwdPerm.Inp_Perm07,,
M7162C_FwdPerm.Inp_Perm08,,
M7162C_RevPerm.Inp_Perm00,Down Position,XIO(ZSD7162_Sts) OTE(M7162C_RevPerm.Inp_Perm00) 
M7162C_RevPerm.Inp_Perm01,,
M7162C_RevPerm.Inp_Perm02,,
M7162C_RevPerm.Inp_Perm03,,
M7162C_RevPerm.Inp_Perm04,,
M7162C_RevPerm.Inp_Perm05,,
M7162C_RevPerm.Inp_Perm06,,
M7162C_RevPerm.Inp_Perm07,,
M7162C_RevPerm.Inp_Perm08,,
M7163B_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7163_Sts) OTE(M7163B_FwdPerm.Inp_Perm00) 
M7163B_FwdPerm.Inp_Perm01,,
M7163B_FwdPerm.Inp_Perm02,,
M7163B_FwdPerm.Inp_Perm03,,
M7163B_FwdPerm.Inp_Perm04,,
M7163B_FwdPerm.Inp_Perm05,,
M7163B_FwdPerm.Inp_Perm06,,
M7163B_FwdPerm.Inp_Perm07,,
M7163B_FwdPerm.Inp_Perm08,,
M7163B_RevPerm.Inp_Perm00,Down Position,XIO(ZSD7163_Sts) OTE(M7163B_RevPerm.Inp_Perm00) 
M7163B_RevPerm.Inp_Perm01,,
M7163B_RevPerm.Inp_Perm02,,
M7163B_RevPerm.Inp_Perm03,,
M7163B_RevPerm.Inp_Perm04,,
M7163B_RevPerm.Inp_Perm05,,
M7163B_RevPerm.Inp_Perm06,,
M7163B_RevPerm.Inp_Perm07,,
M7163B_RevPerm.Inp_Perm08,,
