Permissive,Description,Logic
M7053BC_RevPerm.Inp_Perm06,Pallet Position,"<![CDATA[[XIC(ZS01_7053) OTE(M7053BC_RevPerm.Inp_Perm00) ,XIO(ZS02_7053) OTE(M7053BC_RevPerm.Inp_Perm01) ,XIC(ZS11_7053) OTE(M7053BC_RevPerm.Inp_Perm02) ,XIC(ZS12_7053) OTE(M7053BC_RevPerm.Inp_Perm03) ,XIC(ZS13_7053) OTE(M7053BC_RevPerm.Inp_Perm04) ,XIC(ZS14_7053) OTE(M7053BC_RevPerm.Inp_Perm05) ,XIC(ZSB7053_Sts) XIC(ZSF7053_Sts) OTE(M7053BC_RevPerm.Inp_Perm06) ];]]>"
M7053BC_RevPerm.Inp_Perm07,,
M7053BC_RevPerm.Inp_Perm08,,
M7054C_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7054_Sts) OTE(M7054C_FwdPerm.Inp_Perm00) 
M7054C_FwdPerm.Inp_Perm01,,
M7054C_FwdPerm.Inp_Perm02,,
M7054C_FwdPerm.Inp_Perm03,,
M7054C_FwdPerm.Inp_Perm04,,
M7054C_FwdPerm.Inp_Perm05,,
M7054C_FwdPerm.Inp_Perm06,,
M7054C_FwdPerm.Inp_Perm07,,
M7054C_FwdPerm.Inp_Perm08,,
M7054C_RevPerm.Inp_Perm00,Down Position,XIO(ZSD7054_Sts) OTE(M7054C_RevPerm.Inp_Perm00) 
M7054C_RevPerm.Inp_Perm01,,
M7054C_RevPerm.Inp_Perm02,,
M7054C_RevPerm.Inp_Perm03,,
M7054C_RevPerm.Inp_Perm04,,
M7054C_RevPerm.Inp_Perm05,,
M7054C_RevPerm.Inp_Perm06,,
M7054C_RevPerm.Inp_Perm07,,
M7054C_RevPerm.Inp_Perm08,,
M7056A_FwdPerm.Inp_Perm00,Lift Position,"[XIC(ZS02_7056) ,XIC(ZS05_7056) ] OTE(M7056A_FwdPerm.Inp_Perm00) "
M7056A_FwdPerm.Inp_Perm01,,
M7056A_FwdPerm.Inp_Perm02,,
M7056A_FwdPerm.Inp_Perm03,,
M7056A_FwdPerm.Inp_Perm04,,
M7056A_FwdPerm.Inp_Perm05,,
M7056A_FwdPerm.Inp_Perm06,,
M7056A_FwdPerm.Inp_Perm07,,
M7056A_FwdPerm.Inp_Perm08,,
